전통주명,도수,규격,주원료,제조사
예밀와인 로제,12,750ml,포도(캠벨얼리),예밀2리영농조합법인
예밀와인 레드 스위트,12,750ml,포도(캠벨얼리),예밀2리영농조합법인
예밀와인 레드 드라이,13,750ml,포도(캠벨얼리),예밀2리영농조합법인
산내울 오미자주,16,750ml,"오미자, 설탕, 주정, 정제수, 과당",예산사과와인
추사40,40,500ml,"사과증류원액, 정제수",예산사과와인
추사 블루베리 와인,11,375ml,"예산블루베리 60%(국내산), 설탕, 구연산, 무수아황산, 소르빈산칼륨",예산사과와인
추사 애플와인,12,375ml,사과(국내산),예산사과와인
추사 로제,12,375ml,사과,예산사과와인
추사47,47,500ml,"예산사과(100%), 효모",예산사과와인
추사백25,25,350ml,"증류원액(사과증류원액, 사과: 국내산), 정제수",예산사과와인
추사백40 사과 증류식 소주,40,500ml,,예산사과와인
만강에 비친 달,10,500ml,"홍천쌀, 단호박, 곡자(밀누룩)",예술주조
예술주조 `무작`,53,500ml,"정제수, 누룩, 쌀",예술주조
동짓달 기나긴 밤,16,500ml,"찹쌀, 맵쌀, 복분자, 전통누룩, 정제수",예술주조
동몽,17,500ml,"홍천 쌀, 정제수, 단호박, 국(밀 누룩)",예술주조
배꽃 필 무렵,9,"20ml, 140ml","정제수, 멥쌀(국내산), 누룩",예술주조
홍천강 탁주,11,500ml,"홍천 쌀, 정제수, 국(밀 누룩)",예술주조
남산애 포트와인,18.5,750ml,"포도(캠벨얼리, MBA, 산머루)",예인화원
남산애 레드와인,14,750ml,"포도(캠벨얼리, MBA, 산머루)",예인화원
영탁막걸리,6,750ml,"정제수, 백미(국내산), 입국(쌀, 밀), 물엿, 올리고당, 누룩(밀), 효모, 아스파탐, 아세설팔칼륨",예천양조
오계리 아이스와인,14,375,영천포도,오계리 와이너리
감자술 13%,13,700ml,"국내산 백미, 국내산 감자, 누룩, 효모, 정제수",오대서주양조
서주 16%,16,400ml,"백미(국내산), 감자(국내산), 누룩, 효모, 정제수",오대서주양조
다래와인 7004S,8,750ml,참다래,오름주가
다래와인 7004D,12,750ml,참다래,오름주가
다래와인 3004,8,375ml,참다래,오름주가
문경바람 오크,40,"750ml, 375ml",사과(문경),오미나라
고운달 백자,52,500ml,오미자(문경산),오미나라
고운달 오크,52,"200ml, 500ml",오미자(문경산),오미나라
오미로제 연,8,750ml,오미자,오미나라
스파클링와인 오미로제 결,12,750ml,오미자,오미나라
오미로제 프리미어와인,12,750ml,오미자(문경산),오미나라
혼,22,375ml,문경사과(국내산),오미나라
독산 53,53,250ml,"국내산 쌀, 누룩, 효모, 정제수",오산양조
하얀까마귀,8,850ml,"물, 쌀(국내산), 국, 효모 (밀 함유)",오산양조
독산 30,30,250ml,"정제수, 쌀(국내산), 누룩, 정제효소제, 효모",오산양조
이천쌀생막걸리,6,"750ml, 1,500ml",국내산 쌀,오성주조장
마주 소곡주,16,500ml,"국내산 찹쌀, 국내산 백미, 모싯잎, 우리밀 누룩, 정제수, 효모",옥순가 소곡주 마주
마주 소곡화주,41,500ml,"국내산 찹쌀, 국내산 백미, 모싯잎, 우리밀 누룩, 정제수, 효모",옥순가 소곡주 마주
옹근달 본막걸리,15,375ml,"쌀(강화섬 쌀), 정제수, 누룩",옹근달양조장
어우야,16,365ml,"야관문(제주산), 정제수, 포도당, 효모",왕지케양조장
강냉이 막걸리,6,"1,000ml","정제수, 쌀, 소맥분, 옥분, 입국, 올리고당, 치자분말, 정제효소제, 효모, 아스파탐, 아세설팜칼륨, 밀함유",용두산 조은술
신선주,16,750ml,"쌀, 능금, 신선초, 천궁, 구기자, 당귀솔잎, 대추, 인삼",용두산조은술
예주,15,750ml,"복분자, 주정, 효모, 정제수",용두산조은술
소백산생막걸리,6,750ml,"정제수, 쌀, 소맥분, 평화미",용두산조은술
금휘,35,500ml,"국내산 쌀, 황기, 금나노화된 황금물",용두산조은술(영)
소나무와 학,43,700ml,"국내산 쌀, 황기",용두산조은술(영)
톡쏘는 옥수수동동,6,750ml,"쌀, 정제수, 입국, 옥수수 농축액, 옥수수 추출물 등",우리술
톡쏘는 고구마동동,6,750ml,"쌀, 정제수, 입국, 고구마 농축액, 고구마 추출물 등",우리술
톡쏘는 알밤동동,6,750ml,"쌀, 정제수, 입국, 밤 농축액, 밤 추출물 등",우리술
가평 잣 생막걸리,6,750ml,"쌀, 정제수, 쌀입국, 잣, 효모, 정제효소 등",우리술
톡쏘는 쌀 막걸리,6,"750ml, 950ml",국내산 쌀,우리술
황도배기 햅쌀막걸리,6,900ml,고창 황토배기 햅쌀,우리술
경기백주,14,500ml,"정제수, 경기미 햅쌀, 국, 효모",우리술별처럼 과천도가
타락40,40,"200ml, 375ml","증류원액(국내산 우유), 정제수",우유로 만든 증류주 타락
맑은내일 발효 막걸리,6.5,930ml,"정제수, 백미(국내산), 누룩, 정제효소, 아스파탐(합성감미료 / 페닐알라닌함유), 밀함유",우포의 아침 주식회사
맑은내일 우포,12,"325ml, 500ml","국내산 쌀, 옥수수전분, 효모, 누룩, 양파, 정제수",우포의아침
맑은내일 스파클링 막걸리,5,750ml,"정제수, 멥쌀(수입산), 누룩, 정제효소, 아스파탐(감미료/페닐알라닌 함유), 밀함유",우포의아침
맑은내일 운암1945,12,750ml,"정제수, 쌀, 누룩, 효소제",우포의아침
황감찰,8,750ml,"국내산 쌀, 찹쌀, 누룩, 효모, 정제수",운곡도가
토끼구름,6.8,750ml,"정제수, 쌀, 올리고당, 전분, 조효소제, 혼합제제",운곡도가
왕피천을 품은 미소생막걸리,7,750ml,"쌀, 누룩, 정제수",울진술도가
미소 생막걸리,7,750ml,"쌀(국내산), 누룩, 정제수",울진술도가
원소주,22,375ml,"물, 쌀(국내산)",원스피리츠 농업법인 주식회사
원조소곡주,16,720ml,"찹쌀(36%), 누룩(3%)",원조소곡주
한산 소곡화주,41,"300ml, 500ml","찹쌀, 멥쌀, 누룩",원조소곡주
그랑티그르 M1988,12,750ml,"캠벨얼리 포도, 오미자",월류원
그랑티그르 CE2002,12,750ml,캠벨얼리 포도,월류원
오드린 베베마루 아내를 위한,10,375ml,캠벨얼리 포도,월류원
베베마루 캠밸로제,12,375ml,포도(캠벨얼리),월류원
베베마루 캠벨로제 스위트,10,375ml,포도(캠벨얼리),월류원
베베마루 설레임 로제 스위트와인,12,"375ml, 750ml",포도(캠벨얼리 100%),월류원 오드린
위 (we)레드 (2018)와인,12,750ml,국내산포도 100%,위 와이너리
은자골 생 탁배기,5%,750ml,"백미, 소맥분, 정제수, 전분당, 국, 누룩, 효소, 아스파탐",은척양조장
이상헌 약주,18,500ml,"아산쌀, 국(국내산 밀누룩), 정제수",이가수불
남산둘레길,7.6,750ml,"물, 쌀(국산), 국(밀함유), 솔잎(국산)",이대앞양조장
눈내린여름밤,12,375ml,"쌀, 누룩, 물",이대앞양조장
이동 생 쌀 막걸리,6,750ml,"정제수, 백미, 팽화미, 입국, 아스파탐 등",이동주조
뱁새,23,375ml,"쌀, 찹쌀, 모싯잎, 생강, 구절초",이쁜꽃양조장
아이원 막걸리,6,750ml,"쌀, 밀, 입국, 누룩, 정제수",이원양조장
시인의마을,10,700ml,"쌀(국내산), 누룩, 정제수",이원양조장
우리밀 막걸리 향수,9,700ml,"쌀, 밀, 입국, 누룩, 정제수",이원양조장
이화백주 순탁주,6,940ml,"정제수, 쌀(국내산), 누룩, 설탕, 물엿, 밀, 아스파탐",이화백주
인천 생 소성주,6,750ml,"쌀, 팽화미, 정제수, 국, 효모, 아스파탐, 효소, 이소말토 올리고당",인천탁주
천안연미주,13,375ml,국내산 쌀,입장주조㈜
자두와인,12,750ml,국내산 자두,자두사랑
홍삼명주,14,"375ml, 500ml, 750ml",홍삼(국내산),자연과 인삼
자희향 나비,8,500ml,"찹쌀(국내산), 멥쌀(국내산), 누룩(국내산), 정제수",자희자양
자희향,12,500ml,"찹쌀(국내산), 멥쌀(국내산), 누룩(국내산), 정제수",자희자양
자희향 국화주,15,375ml,국내산 쌀,자희자양
레돔 시드르,6,750ml,사과,작은알자스
레돔 내추럴 스파클링 로제와인,7.5,750ml,포도,작은알자스
세종대왕어주 탁주,13,500ml,"쌀(국내산), 누룩, 정제수",장희도가
세종대왕어주 약주,15,500ml,"쌀, 누룩 정제수",장희도가
고향춘,10,350ml,"포천쌀, 찹쌀, 향미찹쌀, 전가네이화곡, 정제수",전가네
이강주,19,375ml,"쌀, 소맥분, 정맥, 배, 생강, 계피, 울금, 꿀",전주 이강주
경기전,5,1000ml,"국내산 보리, 맥아, 호프펠렛, 효모, 정제효소제, 정제수",전주술로시티
오디여라,25,375ml,"오디증류원액(오디:국내산), 정제수, 올리고당",전주이강주
청진주,16,375ml,"찹쌀, 누룩, 정제수",전통주연구개발원
아리아리,40,500ml,"정제수, 과실주증류주원액(정제수, 오가피열매: 정선산, 설탕, 효모)",정선명주
곤드레생막걸리,6,750ml,"백미(국내산), 감자(정선산), 곤드레(정선산)",정선명주
청혼골드,19.5,375ml,"경기미(용인백옥쌀), 밀누룩, 국, 효모, 증류소주",제이앤제이브루어리
청혼 화이트,13,375ml,"경기미(용인백옥쌀), 밀누룩, 국, 효모",제이앤제이브루어리유한회사
청혼 레드25,25,375ml,"경기미(용인백옥쌀), 경기미(보리), 밀누룩, 국, 효모",제이앤제이브루어리유한회사
청혼 블루,15,375ml,"경기미(용인백옥쌀), 밀누룩, 국, 효모",제이앤제이브루어리유한회사
문경바람 백자 25,25,750ml/375ml,사과(문경산),제이엘
문경바람 백자 40,40,750ml/375ml,사과(문경산),제이엘
기다림 34,12,500ml,"국내산 멥쌀, 국내산 찹쌀, 곡자, 정제수",제이케이크래프트
기다림 25,8,750ml,"국내산 백미, 국내산 찹쌀, 곡자, 정제수",제이케이크래프트
기다림 16,9,750ml,"국내산 찹쌀, 국내산 흑미, 곡자, 정제수",제이케이크래프트
기다림 맑은술,15,500ml,"국내산 멥쌀, 국내산 찹쌀, 곡자, 정제수",제이케이크래프트
동래아들,6,750ml,"정제수, 찹쌀, 맵쌀, 밀누룩",제이케이크래프트
제주술익는집 고소리술,40,400ml,"잡곡, 누룩, 정제수",제주고소리술익는집
오메기 맑은술,16,500ml,"좁쌀, 햅쌀, 정제수, 누룩",제주고소리술익는집
패치배치 만다린,8,600ml,"멥쌀, 감귤, 감귤과피, 당유자과피, 귤꽃",제주곶밭
"동백꽃, 제주",16,365ml,"동백꽃잎, 정제수, 포도당 효모",제주본초협동조합 왕지케양조장
세우리,45,700ml,"산양삼, 하수오, 구기자, 쌀",제주샘주
고소리술,"29, 40","29,40-375ml, 40-500ml","백미, 차조, 입국, 누룩, 효모(팽창제), 정제효소, 스테비올배당체(감미료), 정제수",제주샘주
오메기술,13,375ml,"쌀, 차조, 입국, 누룩, 효모, 효소, 청호, 조릿대, 감초, 정제수",제주샘주
니모메,11,375ml,"백미, 누룩, 감귤 진피, 효모",제주샘주
고소리술,40,375ml,"쌀, 차조, 입국, 누룩, 효모, 효소, 정제수, 스테비올 배당체",제주샘주
제주감귤주 귤로만,7,750ml,감귤원액(제주),제주와이너리
제주몬순커피주,11,200ml,"정제수, 설탕, 커피생두, 효모",제주커피수목원
커피와인 톡시,11,200ml,커피생두 발효액,제주커피수목원
커피냑,40,200ml,"커피생두, 백설탕, 효모, 정제수, 클로로겐산",제주커피수목원
의림소주,40,700ml,국내산 쌀,제천한약(영)
한비 유자술,35,750ml,"쌀(국내산), 유자(국내산)",제천한약(영)
한비 무병장수술,35,"375ml, 750ml","국내산쌀, 흑삼, 인삼, 오가피, 오미자, 구기자, 복분자, 차전자, 토사자, 산수유",제천한약(영)
한비 동충하초술,35,"375ml, 750ml","국내산 쌀, 누룩, 가시오가피 뿌리, 동충하초, 정제수",제천한약(영)
한비오가피술골드,35,500ml,"국내산 쌀, 국내산 오가피",제천한약(영)
한비 오가피술,35,"375ml, 750ml","국내산 쌀, 누룩, 가시오가피 뿌리, 정제수",제천한약영농조합법인
한비 쌀소주,40,"375ml, 750ml","국내산 쌀, 누룩, 정제수",제천한약영농조합법인
젤코바 스페셜와인,11.5,"375ml, 500ml, 750ml","국내산 산머루, MBA포도",젤코바와이너리
젤코바 프리미엄 와인,12,"500ml, 750ml","국내산 산머루, MBA포도",젤코바와이너리
젤코바 캠벨와인,13.5,750ml,"유기농 캠벨포도, 유기농 설탕",젤코바와이너리
홍시와인,10.5,375ml,"감열매(국내산), 효모, 메타중아황산칼륨, 이산화황",젤코바와이너리
우도땅콩전통주,6,750ml,"쌀, 우도땅콩",조은술 세종
세종청주생막걸리,6,"750ml, 1200ml","쌀, 소맥분",조은술 세종
세종 알밤주,6,750ml,"정제수, 백미, 소맥분, 알밤(국내산), 전분당, 효모, 젖산",조은술 세종
생 청주 막걸리,6,750ml,"쌀, 소맥분, 국, 조제종국, 효모, 물엿 등",조은술 세종
우도 땅콩 전통주,6,750ml,"정제수, 전분당, 백미, 국, 땅콩분, 효모, 젖산 등",조은술 세종
바나나 주,4,750ml,"쌀, 국, 정제수, 바나나 농축액, 조제종국, 효모, 물엿",조은술 세종
괴산 세종 찰옥수수 전통주,6,750ml,"정제수, 백미, 국, 옥수수분, 전분당, 조제종국, 효모, 조효소제, 치자색소,젖산, 아스파탐, 아세설팜칼륨,허브후레바E, 누룽지향, 구연산",조은술 세종
아이엠더문,17,"375ml, 750ml","쌀증류식소주원액(유기농쌀100%), 주정, 정제수, 과실농축액(국내산-사과,포도,딸기,오렌지,망고) 등",조은술 세종
이도 22,22,375ml,쌀(국내산),조은술 세종
세종 오가닉,13,375ml,"정제수, 유기농 백미, 국, 효모, 정제효소, 구연산",조은술 세종
유기농이도 14,14,750ml,"물, 유기농쌀(국내산),국[유기농쌀(국내산)], 우리밀누룩(국내산)",조은술 세종
세종 쌀막걸리,6,"750ml, 1200ml, 1700ml",국내산 쌀,조은술 세종
유기농 이도 42,42,"375ml, 750ml","유기농쌀 (100%), 정제수, 증류원액, 국, 조제종국, 효모 등",조은술 세종
유기농 이도 32,32,375ml,"물, 증류원액(유기농 쌀, 국내산)",조은술 세종
미나리싱싱주,14.5,300ml,"쌀(유기농,국내산), 찹쌀(유기농, 국내산), 미나리(친환경, 국내산), 국(유기농쌀,국내산), 종국, 효모, 과당, 아스파탐",조은술 세종
술그리다 생탁주,10,500ml,"국내산쌀, 누룩",좋은술
천비향 오양주 탁주,14,500ml,"국내산쌀, 누룩",좋은술
술예쁘다 생탁주,13,500ml,"국내산 쌀, 누룩",좋은술
천비향 화주,40,375ml,"국내산 쌀, 누룩",좋은술
천비향 오양주 약주,16,500ml,"국내산 쌀, 누룩",좋은술
1932 새싹땅콩+햅쌀/흑미,6,"500ml, 900ml","새싹땅콩+고시히카리 쌀, 새싹땅콩+진도산 흑미",㈜1932 포천일동막걸리
담은,6.5,750ml,"쌀(국내산), 입국, 효모, 고과당, 정제효소제, 정제수",㈜1932 포천일동막걸리
금산인삼백주,43,500ml,"국내산쌀 95.8%, 국내산 인삼 4.2%",㈜금산인삼주
금산인삼주 수삼 500,43,500ml,"국내산 쌀, 국내산 인삼",㈜금산인삼주
수삼단본 720,43,720ml,"국내산 쌀, 국내산 인삼",㈜금산인삼주
배꽃담은연,10,720ml,"쌀 26.1%, 효모 0.07%, 젖산 0.05%, 정제수 72.31%",㈜농업회사법인 술 빚는 전가네
산정호수 동정춘막걸리,6,720ml,"국내산 쌀, 누룩, 정제수",㈜농업회사법인 술 빚는 전가네
동백우리쌀생막걸리,6,750ml,"정제수, 쌀 소맥분 물엿, 곡자, 효모, 조제종국, 정제효소, 아스파탐,아세설팜칼륨",㈜동백양조
두레앙목통숙성주,35,500ml,목통숙성주원액,㈜두레양조
두레앙22,22,375ml,"포도, 메타중아황산칼륨, 효모, 설탕, 정제수",㈜두레양조
두레앙 일반증류주,35,750ml,국내산 포도,㈜두레양조
두레앙와인,12,750ml,거봉포도,㈜두레양조
아우내,20,360ml,"포도주 증류원액, 주정",㈜두레양조
쑥크레,10,375ml,"쌀, 누룩, 쑥, 물",주방장양조장
도래하,19,350ml,"정제수, 주정, 쌀소주원액(정제수, 쌀(국내산), 국, 효모, 젖산), 합성함료(진향, 감초향), 구연산, 천연향료(고수향), 아스파탐(감미료, 페닐알라닌 함유)",㈜배혜정농업회사법인
백제한산군주,25,250ml,"찹쌀, 물, 멥쌀, 주정, 효모, 홍고추, 구절초, 과당, 소금, 스테비아",㈜백제명가주조
부자진 오미자 진,44,375ml,"솔잎, 쑥, 헛개, 한라봉, 오미자 등",㈜부자진농업회사법인
부자진 배치#0001,44,375ml,"캐모마일, 라벤더, 레몬 베버나, 노간주나무 열매, 한라봉, 헛개나무, 솔잎,쑥",㈜부자진농업회사법인
사임주,16,500ml,"국내산 찹쌀, 국내산 멥쌀",㈜사리원
삼해소주,45,400ml,"멥쌀, 찹쌀, 누룩",㈜삼해소주
선운산 복분자주 프리미엄,19,700ml,"복분자(고창산), 과당, 구연산, 아스파탐, 무수아황산",㈜선운산복분자주 흥진
선운산 복분자주,16,375ml,"복분자(고창산), 과당, 구연산, 아스파탐, 무수아황산",㈜선운산복분자주 흥진
선운산 복분자와인,13,300ml,"복분자(고창산), 구연산, 과당, 아스파탐, 주정, 정제수",㈜선운산복분자주 흥진
샹스프랑보아즈,13,500ml,"복분자(고창산), 구연산, 과당, 구연산, 아스파탐, 주정, 정제수",㈜선운산복분자주 흥진
미담,6,750ml,국내산 쌀,㈜성광주조
수성 프리미엄 백주43,43,500ml,"수수, 정제수",㈜수성주류
혼디주,12,330ml,"제주산감귤, 백설탕, 구연산, 무수아황산",㈜시트러스
한청,15,300ml,"정제수, 철원오대미, 정제효소제, 효모, 정제주정, 기타과당, 젖산",주식회사 초가
고향생막걸리,6,750ml,국내산 쌀,㈜찬우물
고향인삼막걸리,6,750ml,"국내산쌀90%, 국내산인삼10%",㈜찬우물
SSOA-포도,5,355ml,국내산 포도,㈜포천조술당
고리진,47,500ml,"노간주열매, 유자, 복분자, 오미자, 구기자, 인삼, 우엉, 생강, 감초, 산초",㈜하우스오브헤리티지
금과 명주,40,750ml,"사과증류주, 고과당, 사과향, 카라멜",㈜한국애플리즈
애피소드호프,3.5,500ml,"사과과즙, 보리, 쌀, 홉",㈜한국애플리즈
The 찾을수록,14~16,360ml,"사과와인, 정제수, 정제주정 외 제품별 농축액 (복숭아, 포도, 사과, 감귤, 생강, 커피향 등)",㈜한국애플리즈
애피소드 상그리아,3.5,500ml,"포도와인, 정제주정, 정제수, 포도농축액, 고과당",㈜한국애플리즈
애피소드 애플,3.5,500ml,사과,㈜한국애플리즈
한스오차드 사과와인,11,750ml,사과,㈜한국애플리즈
프리미엄 애플와인 한스오차드,11,750ml,국내산 사과,㈜한국애플리즈
"화요 41%, 25%, 17%","41, 25, 17","375ml, 500ml, 750ml",국내산 쌀,㈜화요
죽향41,41,375ml,"정제수, 쌀(국내산), 벌꿀, 조제종국, 정제효소, 젖산",죽향도가
대대포9,9,600ml,"정제수, 쌀, 정제효소, 젖산, 종국, 효모, 물엿, 은행나무견과, 우유함유",죽향도가
청명주,17,500ml,국내산 쌀,중원당
청명주 750,17,750ml,"찹쌀,누룩,소맥분",중원당
호호막걸리,9,375ml,"정제수, 찹쌀(국내산), 멥쌀(국내산), 단호박(국내산), 누룩(국내산), 밀함유",중원당
보은주,10,375ml,"찹쌀(국내산), 멥쌀(국내산), 누룩(국내산)",중원당
선희주,12,375ml,"찹쌀(국내산), 멥쌀(국내산), 누룩(국내산), 정제수, 밀함유",중원당
지리산 정담 생쌀 막걸리,6,750ml,"쌀(국내산), 종국, 정제수, 누룩, 효모",지리산 운봉주조
지리산 허브잎술 쌀 막걸리,6,750ml,"쌀(국내산), 입국, 정제수, 효모, 곡자, 국내산허브(로즈마리, 라벤다잎줄기추출액, 울금) 등",지리산 운봉주조
야관문 쌀 막걸리,6,750ml,"팽화미, 입국, 효모, 곡자(밀), 정제수, 야관문잎 줄기 추출액 등",지리산 운봉주조
지평 이랑이랑,5,750ml,"정제수, 쌀, 자일리톨, 국, 효모, 레몬농축액, 허브류",지평주조
지평 생 옛막걸리,5,"1,700ml","밀, 정제수, 국, 분말종국, 효모, 정제효소 등",지평주조
지평 생 쌀막걸리,5,"700ml, 1,700ml","쌀(국내산), 정제수, 국, 효모, 정제효소 등",지평주조
